constructorId,points,positions,positionText,wins
red_bull,498,1,1,9
mclaren,454,2,2,5
ferrari,396,3,3,5
mercedes,214,4,4,0
renault,163,5,5,0
williams,69,6,6,0
force_india,68,7,7,0
sauber,44,8,8,0
toro_rosso,13,9,9,0
lotus_racing,0,10,10,0
hrt,0,11,11,0
virgin,0,12,12,0
red_bull,650,1,1,12
mclaren,497,2,2,6
ferrari,375,3,3,1
mercedes,165,4,4,0
renault,73,5,5,0
force_india,69,6,6,0
sauber,44,7,7,0
toro_rosso,41,8,8,0
williams,5,9,9,0
lotus_racing,0,10,10,0
hrt,0,11,11,0
virgin,0,12,12,0
red_bull,460,1,1,7
ferrari,400,2,2,3
mclaren,378,3,3,7
lotus_f1,303,4,4,1
mercedes,142,5,5,1
sauber,126,6,6,0
force_india,109,7,7,0
williams,76,8,8,1
toro_rosso,26,9,9,0
caterham,0,10,10,0
marussia,0,11,11,0
hrt,0,12,12,0
red_bull,596,1,1,13
mercedes,360,2,2,3
ferrari,354,3,3,2
lotus_f1,315,4,4,1
mclaren,122,5,5,0
force_india,77,6,6,0
sauber,57,7,7,0
toro_rosso,33,8,8,0
williams,5,9,9,0
marussia,0,10,10,0
caterham,0,11,11,0
mercedes,701,1,1,16
red_bull,405,2,2,3
williams,320,3,3,0
ferrari,216,4,4,0
mclaren,181,5,5,0
force_india,155,6,6,0
toro_rosso,30,7,7,0
lotus_f1,10,8,8,0
marussia,2,9,9,0
sauber,0,10,10,0
caterham,0,11,11,0
mercedes,703,1,1,16
ferrari,428,2,2,3
williams,257,3,3,0
red_bull,187,4,4,0
force_india,136,5,5,0
lotus_f1,78,6,6,0
toro_rosso,67,7,7,0
sauber,36,8,8,0
mclaren,27,9,9,0
manor,0,10,10,0
mercedes,765,1,1,19
red_bull,468,2,2,2
ferrari,398,3,3,0
force_india,173,4,4,0
williams,138,5,5,0
mclaren,76,6,6,0
toro_rosso,63,7,7,0
haas,29,8,8,0
renault,8,9,9,0
sauber,2,10,10,0
manor,1,11,11,0
mercedes,668,1,1,12
ferrari,522,2,2,5
red_bull,368,3,3,3
force_india,187,4,4,0
williams,83,5,5,0
renault,57,6,6,0
toro_rosso,53,7,7,0
haas,47,8,8,0
mclaren,30,9,9,0
sauber,5,10,10,0
mercedes,655,1,1,11
ferrari,571,2,2,6
red_bull,419,3,3,4
renault,122,4,4,0
haas,93,5,5,0
mclaren,62,6,6,0
force_india,52,7,7,0
sauber,48,8,8,0
toro_rosso,33,9,9,0
williams,7,10,10,0
mercedes,739,1,1,15
ferrari,504,2,2,3
red_bull,417,3,3,3
mclaren,145,4,4,0
renault,91,5,5,0
toro_rosso,85,6,6,0
racing_point,73,7,7,0
alfa,57,8,8,0
haas,28,9,9,0
williams,1,10,10,0
mercedes,573,1,1,13
red_bull,319,2,2,2
mclaren,202,3,3,0
racing_point,195,4,4,1
renault,181,5,5,0
ferrari,131,6,6,0
alphatauri,107,7,7,1
alfa,8,8,8,0
haas,3,9,9,0
williams,0,10,10,0
mercedes,613.5,1,1,9
red_bull,585.5,2,2,11
ferrari,323.5,3,3,0
mclaren,275,4,4,1
alpine,155,5,5,1
alphatauri,142,6,6,0
aston_martin,77,7,7,0
williams,23,8,8,0
alfa,13,9,9,0
haas,0,10,10,0
red_bull,759,1,1,17
ferrari,554,2,2,4
mercedes,515,3,3,1
alpine,173,4,4,0
mclaren,159,5,5,0
alfa,55,6,6,0
aston_martin,55,7,7,0
haas,37,8,8,0
alphatauri,35,9,9,0
williams,8,10,10,0
