raceId,driverId,position,time
Spanish Grand Prix,webber,1,1:31.460
Spanish Grand Prix,vettel,2,1:32.211
Spanish Grand Prix,hamilton,3,1:33.114
Spanish Grand Prix,alonso,4,1:33.939
Spanish Grand Prix,button,5,1:34.658
Spanish Grand Prix,michael_schumacher,6,1:35.377
Spanish Grand Prix,massa,7,1:36.207
Spanish Grand Prix,sutil,8,1:36.717
Spanish Grand Prix,alguersuari,9,1:37.513
Spanish Grand Prix,kubica,10,1:38.045
Spanish Grand Prix,rosberg,11,1:38.435
Spanish Grand Prix,barrichello,12,1:38.788
Spanish Grand Prix,hulkenberg,13,1:39.151
Spanish Grand Prix,liuzzi,14,1:40.048
Spanish Grand Prix,trulli,15,1:40.643
Spanish Grand Prix,kobayashi,16,1:40.998
Spanish Grand Prix,glock,17,1:41.687
Spanish Grand Prix,chandhok,18,1:43.759
Spanish Grand Prix,petrov,19,1:43.913
Spanish Grand Prix,grassi,20,1:44.668
Spanish Grand Prix,buemi,21,1:46.064
Spanish Grand Prix,rosa,22,2:11.181
Spanish Grand Prix,alonso,1,1:34.494
Spanish Grand Prix,vettel,2,1:35.274
Spanish Grand Prix,webber,3,1:36.329
Spanish Grand Prix,hamilton,4,1:36.991
Spanish Grand Prix,petrov,5,1:38.084
Spanish Grand Prix,michael_schumacher,6,1:38.633
Spanish Grand Prix,rosberg,7,1:39.139
Spanish Grand Prix,massa,8,1:39.979
Spanish Grand Prix,buemi,9,1:40.611
Spanish Grand Prix,button,10,1:40.998
Spanish Grand Prix,perez,11,1:41.433
Spanish Grand Prix,alguersuari,12,1:41.876
Spanish Grand Prix,maldonado,13,1:42.255
Spanish Grand Prix,resta,14,1:42.808
Spanish Grand Prix,trulli,15,1:43.553
Spanish Grand Prix,kovalainen,16,1:44.276
Spanish Grand Prix,heidfeld,17,1:45.164
Spanish Grand Prix,sutil,18,1:46.107
Spanish Grand Prix,liuzzi,19,1:46.737
Spanish Grand Prix,barrichello,20,1:47.077
Spanish Grand Prix,glock,21,1:47.556
Spanish Grand Prix,karthikeyan,22,1:48.183
Spanish Grand Prix,ambrosio,23,1:48.573
Spanish Grand Prix,kobayashi,24,1:57.590
Spanish Grand Prix,alonso,1,1:33.726
Spanish Grand Prix,maldonado,2,1:35.034
Spanish Grand Prix,raikkonen,3,1:36.119
Spanish Grand Prix,rosberg,4,1:37.175
Spanish Grand Prix,grosjean,5,1:38.392
Spanish Grand Prix,michael_schumacher,6,1:38.764
Spanish Grand Prix,vettel,7,1:39.378
Spanish Grand Prix,button,8,1:40.104
Spanish Grand Prix,kobayashi,9,1:40.542
Spanish Grand Prix,vergne,10,1:40.893
Spanish Grand Prix,massa,11,1:41.325
Spanish Grand Prix,webber,12,1:41.889
Spanish Grand Prix,resta,13,1:42.348
Spanish Grand Prix,hulkenberg,14,1:42.673
Spanish Grand Prix,ricciardo,15,1:43.148
Spanish Grand Prix,kovalainen,16,1:43.592
Spanish Grand Prix,bruno_senna,17,1:44.152
Spanish Grand Prix,petrov,18,1:44.564
Spanish Grand Prix,glock,19,1:45.224
Spanish Grand Prix,hamilton,20,1:45.471
Spanish Grand Prix,pic,21,1:46.179
Spanish Grand Prix,rosa,22,1:46.617
Spanish Grand Prix,karthikeyan,23,1:47.079
Spanish Grand Prix,perez,24,2:04.682
Spanish Grand Prix,rosberg,1,1:34.590
Spanish Grand Prix,vettel,2,1:35.032
Spanish Grand Prix,alonso,3,1:35.662
Spanish Grand Prix,hamilton,4,1:36.328
Spanish Grand Prix,raikkonen,5,1:36.831
Spanish Grand Prix,perez,6,1:38.000
Spanish Grand Prix,massa,7,1:38.200
Spanish Grand Prix,sutil,8,1:38.939
Spanish Grand Prix,grosjean,9,1:39.396
Spanish Grand Prix,resta,10,1:39.883
Spanish Grand Prix,webber,11,1:40.257
Spanish Grand Prix,vergne,12,1:40.925
Spanish Grand Prix,hulkenberg,13,1:41.552
Spanish Grand Prix,ricciardo,14,1:41.943
Spanish Grand Prix,maldonado,15,1:42.539
Spanish Grand Prix,gutierrez,16,1:43.136
Spanish Grand Prix,button,17,1:43.457
Spanish Grand Prix,bottas,18,1:43.731
Spanish Grand Prix,garde,19,1:43.934
Spanish Grand Prix,chilton,20,1:44.371
Spanish Grand Prix,jules_bianchi,21,1:44.822
Spanish Grand Prix,pic,22,1:45.027
Spanish Grand Prix,hamilton,1,1:36.072
Spanish Grand Prix,rosberg,2,1:37.222
Spanish Grand Prix,bottas,3,1:38.418
Spanish Grand Prix,ricciardo,4,1:38.993
Spanish Grand Prix,grosjean,5,1:40.112
Spanish Grand Prix,raikkonen,6,1:40.717
Spanish Grand Prix,alonso,7,1:41.298
Spanish Grand Prix,massa,8,1:41.799
Spanish Grand Prix,hulkenberg,9,1:42.763
Spanish Grand Prix,perez,10,1:43.336
Spanish Grand Prix,gutierrez,11,1:43.799
Spanish Grand Prix,kvyat,12,1:44.283
Spanish Grand Prix,button,13,1:44.891
Spanish Grand Prix,vettel,14,1:45.306
Spanish Grand Prix,kevin_magnussen,15,1:46.473
Spanish Grand Prix,sutil,16,1:46.905
Spanish Grand Prix,jules_bianchi,17,1:47.132
Spanish Grand Prix,kobayashi,18,1:47.635
Spanish Grand Prix,vergne,19,1:47.717
Spanish Grand Prix,maldonado,20,1:48.117
Spanish Grand Prix,chilton,21,1:48.607
Spanish Grand Prix,ericsson,22,1:49.359
Spanish Grand Prix,rosberg,1,1:35.658
Spanish Grand Prix,vettel,2,1:36.832
Spanish Grand Prix,hamilton,3,1:38.042
Spanish Grand Prix,bottas,4,1:39.104
Spanish Grand Prix,raikkonen,5,1:39.950
Spanish Grand Prix,max_verstappen,6,1:40.837
Spanish Grand Prix,sainz,7,1:41.484
Spanish Grand Prix,massa,8,1:41.963
Spanish Grand Prix,grosjean,9,1:42.440
Spanish Grand Prix,ricciardo,10,1:43.028
Spanish Grand Prix,maldonado,11,1:43.399
Spanish Grand Prix,alonso,12,1:44.024
Spanish Grand Prix,kvyat,13,1:44.331
Spanish Grand Prix,nasr,14,1:44.865
Spanish Grand Prix,ericsson,15,1:45.239
Spanish Grand Prix,perez,16,1:45.766
Spanish Grand Prix,button,17,1:46.194
Spanish Grand Prix,hulkenberg,18,1:46.537
Spanish Grand Prix,merhi,19,1:47.600
Spanish Grand Prix,stevens,20,1:48.007
Spanish Grand Prix,ricciardo,1,1:53.669
Spanish Grand Prix,max_verstappen,2,1:54.582
Spanish Grand Prix,sainz,3,1:55.665
Spanish Grand Prix,vettel,4,1:56.984
Spanish Grand Prix,raikkonen,5,1:58.161
Spanish Grand Prix,bottas,6,1:58.967
Spanish Grand Prix,perez,7,2:00.031
Spanish Grand Prix,button,8,2:02.543
Spanish Grand Prix,alonso,9,2:03.037
Spanish Grand Prix,grosjean,10,2:03.549
