raceId,driverId,stop,lap,time,duration
Spanish Grand Prix,kobayashi,1,1,14:05:11,24.871
Spanish Grand Prix,perez,1,7,14:14:14,23.592
Spanish Grand Prix,maldonado,1,8,14:15:48,22.689
Spanish Grand Prix,vettel,1,9,14:16:54,20.253
Spanish Grand Prix,buemi,1,9,14:17:17,20.818
Spanish Grand Prix,alonso,1,10,14:18:23,20.567
Spanish Grand Prix,webber,1,10,14:18:27,20.881
Spanish Grand Prix,michael_schumacher,1,10,14:18:43,20.084
Spanish Grand Prix,hamilton,1,11,14:19:57,19.761
Spanish Grand Prix,petrov,1,11,14:20:14,21.856
Spanish Grand Prix,rosberg,1,11,14:20:17,20.647
Spanish Grand Prix,massa,1,11,14:20:19,20.800
Spanish Grand Prix,alguersuari,1,11,14:20:28,20.741
Spanish Grand Prix,barrichello,1,11,14:20:48,29.936
Spanish Grand Prix,sutil,1,13,14:23:57,20.773
Spanish Grand Prix,button,1,14,14:24:51,20.015
Spanish Grand Prix,karthikeyan,1,14,14:25:56,24.843
Spanish Grand Prix,resta,1,15,14:26:40,20.070
Spanish Grand Prix,trulli,1,15,14:26:50,22.364
Spanish Grand Prix,kovalainen,1,16,14:28:30,21.019
Spanish Grand Prix,liuzzi,1,16,14:28:55,23.157
Spanish Grand Prix,glock,1,16,14:29:00,22.744
Spanish Grand Prix,ambrosio,1,17,14:30:41,23.176
Spanish Grand Prix,vettel,2,18,14:30:44,19.887
Spanish Grand Prix,alonso,2,19,14:32:13,20.238
Spanish Grand Prix,webber,2,19,14:32:16,20.079
Spanish Grand Prix,maldonado,2,20,14:34:36,24.821
Spanish Grand Prix,massa,2,21,14:35:51,21.635
Spanish Grand Prix,heidfeld,1,21,14:36:21,21.322
Spanish Grand Prix,hamilton,2,23,14:38:08,20.235
Spanish Grand Prix,perez,1,1,14:05:24,21.864
Spanish Grand Prix,webber,1,6,14:12:45,20.119
Spanish Grand Prix,vettel,1,7,14:14:11,19.745
Spanish Grand Prix,kobayashi,1,8,14:15:44,22.260
Spanish Grand Prix,rosberg,1,9,14:17:10,20.502
Spanish Grand Prix,button,1,9,14:17:14,20.333
Spanish Grand Prix,resta,1,9,14:17:22,19.987
Spanish Grand Prix,alonso,1,10,14:18:30,19.456
Spanish Grand Prix,grosjean,1,10,14:18:42,20.223
Spanish Grand Prix,michael_schumacher,1,10,14:18:44,20.113
Spanish Grand Prix,vergne,1,10,14:18:52,20.388
Spanish Grand Prix,massa,1,10,14:18:53,20.130
Spanish Grand Prix,hulkenberg,1,10,14:18:56,20.521
Spanish Grand Prix,petrov,1,10,14:19:03,24.856
Spanish Grand Prix,rosa,1,10,14:19:19,22.275
Spanish Grand Prix,maldonado,1,11,14:20:01,20.620
Spanish Grand Prix,raikkonen,1,11,14:20:05,19.777
Spanish Grand Prix,ricciardo,1,11,14:20:29,21.101
