raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Bahrain Grand Prix,alonso,ferrari,8,1,3,1,25,49,Finished,5960396,1:39:20.396,45,1:58.287,191.706,1
Bahrain Grand Prix,massa,ferrari,7,2,2,2,18,49,Finished,5976495,+16.099,38,1:59.732,189.392,5
Bahrain Grand Prix,hamilton,mclaren,2,3,4,3,15,49,Finished,5983578,+23.182,42,1:59.560,189.665,4
Bahrain Grand Prix,vettel,red_bull,5,4,1,4,12,49,Finished,5999195,+38.799,32,2:00.218,188.627,12
Bahrain Grand Prix,rosberg,mercedes,4,5,5,5,10,49,Finished,6000609,+40.213,45,2:00.236,188.599,13
Bahrain Grand Prix,michael_schumacher,mercedes,3,6,7,6,8,49,Finished,6004559,+44.163,45,2:00.204,188.649,11
Bahrain Grand Prix,button,mclaren,1,7,8,7,6,49,Finished,6005676,+45.280,45,1:59.970,189.017,9
Bahrain Grand Prix,webber,red_bull,6,8,6,8,4,49,Finished,6006756,+46.360,45,1:59.487,189.781,3
Bahrain Grand Prix,liuzzi,force_india,15,9,12,9,2,49,Finished,6013404,+53.008,39,1:59.906,189.118,7
Bahrain Grand Prix,barrichello,williams,9,10,11,10,1,49,Finished,6022885,+1:02.489,47,1:59.833,189.233,6
Bahrain Grand Prix,kubica,renault,11,11,9,11,0,49,Finished,6029489,+1:09.093,33,2:00.474,188.226,14
Bahrain Grand Prix,sutil,force_india,14,12,10,12,0,49,Finished,6043354,+1:22.958,49,1:59.393,189.930,2
Bahrain Grand Prix,alguersuari,toro_rosso,17,13,18,13,0,49,Finished,6053052,+1:32.656,28,1:59.964,189.026,8
Bahrain Grand Prix,hulkenberg,williams,10,14,13,14,0,48,+1 Lap,,,34,2:01.401,186.789,15
Bahrain Grand Prix,kovalainen,lotus_racing,19,15,21,15,0,47,+2 Laps,,,47,2:02.701,184.810,17
Bahrain Grand Prix,buemi,toro_rosso,16,16,15,16,0,46,Electrical,,,41,2:00.080,188.844,10
Bahrain Grand Prix,trulli,lotus_racing,18,17,20,17,0,46,Hydraulics,,,34,2:02.930,184.465,18
Bahrain Grand Prix,rosa,sauber,22,18,14,R,0,28,Hydraulics,,,27,2:01.650,186.406,16
Bahrain Grand Prix,bruno_senna,hrt,21,19,23,R,0,17,Overheating,,,14,2:09.127,175.613,22
Bahrain Grand Prix,glock,virgin,24,20,19,R,0,16,Gearbox,,,11,2:07.062,178.467,21
Bahrain Grand Prix,petrov,renault,12,21,17,R,0,13,Suspension,,,7,2:04.307,182.422,19
Bahrain Grand Prix,kobayashi,sauber,23,22,16,R,0,11,Hydraulics,,,4,2:05.044,181.347,20
Bahrain Grand Prix,grassi,virgin,25,23,22,R,0,2,Hydraulics,,,2,2:09.361,175.295,23
